id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,target
0,1.1003547,0.7123108,0.611188,0.8505352,0.21849194,0.054781053,1.2719837,0.57321626,0.3360822,0.62830037,0.15322994,0.25659773,0.41022307,0.27272317,0.12501314,0.3356791,0.23402795,0.09503254,Geste1
1,1.5341811,0.81899524,0.2926403,0.31469083,0.32720524,0.072238125,1.4745489,0.38799363,0.29412213,0.38597938,0.06696515,0.20005465,0.5098477,0.31894898,0.1414874,0.35966805,0.24347378,0.2080754,Geste1
2,1.3199033,0.8887213,0.47757247,0.1337603,0.22788124,0.024062749,0.65662557,0.25745684,0.1154585,0.25608245,0.05363296,0.18801251,0.41620046,0.23398937,0.11445238,0.30651274,0.19819814,0.06391013,Geste1
3,0.97755045,0.6286413,0.31346238,0.51053965,0.29055983,0.039229214,1.1981492,0.4466471,0.5990493,0.5267154,0.14779675,0.33736226,0.46874347,0.2727668,0.13523299,0.3692797,0.2585372,0.16303793,Geste1
4,1.273653,1.0368913,0.28524053,0.30177054,0.36513168,0.06713521,0.6742869,0.2831538,0.15746906,0.31125054,0.09759537,0.21245669,0.48484072,0.293563,0.108102925,0.2914987,0.2409697,0.10073686,Geste1
5,0.47935474,0.3466596,0.01032169,0.020567007,0.24392268,0.041689184,1.0831611,0.32616013,0.081658036,0.19609927,0.102974415,0.2017549,0.4077701,0.28828225,0.10886057,0.29771078,0.22374682,0.074827604,Geste1
6,1.1783603,0.66654307,0.3300922,0.80006534,0.2447704,0.032467272,1.6573056,0.5872341,0.25067565,0.450853,0.23702945,0.40857038,0.40199354,0.26780754,0.2018196,0.42462215,0.4633479,0.43560964,Geste1
7,0.88324845,0.48709375,0.011488858,0.022758331,0.29872847,0.07090089,1.1036856,0.4717862,0.16703771,0.28783458,0.07490499,0.25031534,0.46273673,0.29227045,0.11208364,0.30784413,0.22072713,0.106027275,Geste1
8,0.81059605,0.39571166,0.010246253,0.021083616,0.2740272,0.052862667,1.2669575,0.59313035,0.13912742,0.3031313,0.15848485,0.26117828,0.42444956,0.2727259,0.10850996,0.2625474,0.22154532,0.087236695,Geste1
9,0.7725947,0.6449486,0.31098002,0.42344669,0.3346582,0.05824956,1.0433571,0.52737516,0.24895123,0.45220986,0.12527283,0.17426401,0.4091569,0.28454837,0.15548047,0.30733964,0.14133672,0.19416767,Geste1
10,0.8458939,0.3730589,0.012379037,0.023934834,0.39061213,0.06400424,1.0452186,0.41553253,0.13267106,0.22299516,0.15809788,0.19428174,0.46513596,0.27357072,0.1618665,0.37176698,0.17771272,0.20962,Geste1
11,1.0288117,0.76018596,0.403281,0.6822656,0.37221357,0.063677005,1.013563,0.45400697,0.22767358,0.48356318,0.16576913,0.19132073,0.45941544,0.27888379,0.16767953,0.36553016,0.20206104,0.22229744,Geste1
12,0.79602855,0.35074118,0.011167013,0.022129657,0.38090435,0.053248502,1.1202576,0.39930496,0.1253878,0.20311452,0.15972374,0.18116981,0.4525178,0.281827,0.16073592,0.36041152,0.17261715,0.21463744,Geste1
13,1.7537012,1.6507571,0.52035683,0.9368605,0.2599527,0.037190184,0.81038094,0.42834136,0.19339004,0.47439525,0.087478004,0.16286318,0.41435564,0.22561374,0.1721793,0.32303712,0.19939117,0.124221705,Geste1
14,1.0150955,0.76182103,0.16230333,0.07350337,0.2836188,0.023511091,0.5109035,0.25258872,0.107857205,0.23125741,0.07696889,0.16722281,0.39072657,0.21682115,0.15240519,0.33955878,0.191951,0.08074191,Geste1
15,1.3269554,0.9885808,0.22020932,0.12630858,0.28204492,0.020809125,0.69251025,0.31788608,0.13439704,0.2917361,0.08659259,0.17395967,0.43846732,0.22106344,0.14613481,0.3067668,0.20041527,0.08819521,Geste1
16,1.3650235,1.0404929,0.08533754,0.09874739,0.32085565,0.022089263,0.7116613,0.3885135,0.09926851,0.24199693,0.08634175,0.18889366,0.52880746,0.25948226,0.13738713,0.3360506,0.20148437,0.06557855,Geste1
17,1.4030787,0.8440899,0.68782085,0.9162586,0.2466941,0.065231785,1.0658458,0.61141163,0.71503353,0.4548893,0.09958254,0.3432612,0.4129546,0.30126682,0.09497411,0.25924587,0.24474643,0.16564018,Geste1
18,1.3921317,0.77063024,0.2770116,0.4723168,0.27094838,0.04165331,0.9097661,0.4983212,0.43998238,0.32218134,0.09386008,0.3485343,0.41649103,0.29008022,0.102305256,0.28445303,0.25733042,0.12222799,Geste1
19,1.518509,0.9401103,0.60014737,0.46310246,0.32696328,0.037827905,0.97174144,0.4705086,0.51848,0.3280534,0.10228762,0.37552956,0.44044042,0.26065573,0.12221899,0.33087122,0.320649,0.12630557,Geste1
20,1.4257418,0.8648033,0.56613415,0.6024753,0.26439846,0.07070614,1.0110644,0.40926716,0.52083874,0.34638664,0.08616007,0.30854872,0.42137015,0.29829475,0.09284953,0.25906125,0.22793914,0.14670578,Geste1
21,1.4829732,1.3197143,0.29062423,0.81461155,0.29284593,0.033655584,0.775238,0.3768748,0.16528411,0.3784379,0.11835692,0.17127436,0.43354258,0.23426953,0.11280922,0.28648198,0.2318439,0.087280266,Geste1
22,1.1094556,0.8560573,0.26657876,0.37075663,0.28764546,0.04488513,0.5295173,0.2535727,0.12273864,0.2739701,0.086970724,0.1737917,0.4219409,0.29100418,0.09865499,0.26020908,0.2081762,0.07794038,Geste1
23,1.3077748,1.032329,0.3141241,0.41747245,0.2808755,0.027579274,0.6370624,0.2869018,0.13248174,0.30496275,0.0921614,0.16197418,0.45730814,0.25406638,0.10468491,0.2776537,0.20775782,0.08049263,Geste1
24,0.8848815,0.7467772,0.2804631,0.3202746,0.29606298,0.052171588,0.4969569,0.22638477,0.11771443,0.24052922,0.077509634,0.17227355,0.4510364,0.2731751,0.09939059,0.27259058,0.18627855,0.079956286,Geste1
25,0.5999982,0.3605666,0.01500714,0.041186877,0.27185652,0.10611291,1.3738625,0.5720746,0.17126104,0.45953816,0.08189987,0.19998121,1.4517535,0.7911815,0.43977457,0.6353805,0.24048845,0.093044706,Geste2
26,0.54745376,0.3114005,0.011985278,0.024255304,0.28892,0.056133073,0.73703074,0.17361662,0.18771425,0.30810204,0.20432582,0.2561117,1.2919126,0.72180325,0.23132002,0.39252073,0.21438684,0.14256091,Geste2
27,0.49631703,0.32748696,0.10119813,0.1463416,0.26981303,0.0763137,0.44932073,0.20262045,0.09755519,0.2957653,0.048866685,0.20382991,0.9961276,0.61768615,0.095962346,0.265116,0.23187898,0.057752512,Geste2
28,0.5450586,0.32319772,0.012030666,0.02288214,0.295844,0.029354747,0.6671022,0.25119767,0.2272579,0.25568265,0.1841277,0.719478,1.2157463,0.7702397,0.5270209,0.77233016,0.2866721,0.22293884,Geste2
29,0.5527892,0.31918496,0.011400545,0.023611,0.37500867,0.06490859,0.57392645,0.1768377,0.1468142,0.22982727,0.08831376,0.20711601,1.0430068,0.82933605,0.27528876,0.511158,0.27503195,0.09573564,Geste2
30,0.55590063,0.31103283,0.011296685,0.021908982,0.3091921,0.062612236,1.2884492,0.4980243,0.33654413,0.48846585,0.111932375,0.30704814,1.3521792,0.91677666,0.79117334,1.1961786,0.2726927,0.047897026,Geste2
31,0.47870708,0.32754818,0.009273078,0.017658377,0.27449828,0.06733603,0.98438793,0.37300187,0.28655845,0.38322943,0.1635046,0.2823874,1.4781768,1.0912129,0.8291087,1.4530321,0.56350446,0.29090968,Geste2
